run_id,architecture,model,f1,latency_ms,cost_usd
09581743885c,recursive_lm,gpt-4o-mini,0.6024782455430625,7078.275681943944,3.18819855
0adb4215c65b,self_rag,gpt-4o-mini,0.15841491841491842,9768.639220012119,0.0019288499999999997
0e7932b02fd5,react_rag,gpt-4o-mini,0.5081343788843742,3922.975364172797,11.160978
0eb193182083,reap_rag,gpt-4o-mini,0.3659342451617467,14713.28367035799,7.4081217
1504cc1266d3,react_rag,gpt-4o-mini,0.0677385396189967,3518.936619202114,1.45565445
19114c8be979,planner_rag,gpt-4o-mini,0.377001913850804,14617.773944362085,4.08989685
1c0a526fc03e,self_rag,gpt-4o-mini,0.23176007818846778,4290.070842987323,0.9966549
1c4afb9455fd,ircot_rag,gpt-4o-mini,0.5470780731431601,6462.724768304927,3.9672153
202cc61ab6bb,ircot_rag,gpt-4o-mini,0.3463532608774228,8388.863049275778,1.73198655
25cc3f6b90df,react_rag,gpt-4o-mini,0.5993547866616007,7611.095462957333,9.18463995
26863c8883c1,reap_rag,gpt-4o-mini,0.11577170936836914,12097.574939842567,2.23303005
30327e77752e,react_rag,gpt-4o-mini,0.8705882352941176,0.7529599999543279,0.004807499999999999
32f5bafa00b7,recursive_lm,gpt-4o-mini,0.19757838467584135,13753.20304584273,3.0882072
37b58fa1b536,reap_rag,gpt-4o-mini,0.15645790273864324,5229.731967148283,2.16784125
3b4b25dee3fd,react_rag,gpt-4o-mini,0.8705882352941176,6594.7987000021385,0.004807499999999999
3e4b5fc82f99,ircot_rag,gpt-4o-mini,0.591752391451101,3277.6270034975996,3.77417145
41b4dcaa140e,vanilla_rag,gpt-4o-mini,0.690100592390066,1453.4633169928566,0.01023405
47103104139a,react_rag,gpt-4o-mini,0.5927521147557586,5949.688692113399,9.66301785
4d923d09821d,ircot_rag,gpt-4o-mini,0.5985972390306455,9874.163042808812,3.8084845499999997
51077083f3ca,ircot_rag,gpt-4o-mini,0.35878025323724516,6614.818228051548,1.7090598
66516cec05b6,planner_rag,gpt-4o-mini,0.25870575761759623,6227.464490072437,2.07624705
6cc7eba11f34,planner_rag,gpt-4o-mini,0.15113263937514693,11760.47996317717,2.0675884499999997
7272b4eb8c81,self_rag,gpt-4o-mini,0.5495139998458773,1892.884684821088,2.080683
72dc70f2c3e5,self_rag,gpt-4o-mini,0.5487858316395946,4497.179197164055,2.1303449999999997
74d7b162f218,vanilla_rag,gpt-4o-mini,0.5151295350640763,2321.054692951532,0.7693863
842f7d8bb682,reap_rag,gpt-4o-mini,0.1566305507665767,4750.894678982562,2.1419159999999997
85e4a6b94230,react_rag,gpt-4o-mini,0.1804437438601664,11703.462975631233,5.74477275
8d4736d42905,react_rag,gpt-4o-mini,0.27780418815576513,9373.865482251245,5.24114265
99900bcd153f,recursive_lm,gpt-4o-mini,0.28552655663907256,13235.095302068314,2.13753195
9b4f758783b7,recursive_lm,gpt-4o-mini,0.5264841955864725,9576.490735030817,5.0052807
9fac759dd238,react_rag,gpt-4o-mini,0.0677385396189967,194.79141461085666,1.45565445
a381842dbea6,recursive_lm,gpt-4o-mini,0.6011485241526446,4950.707387103533,3.33745815
aaf679ce9430,vanilla_rag,gpt-4o-mini,0.6101212121212122,1293.2647969969548,0.0102777
b054e24bdec5,vanilla_rag,gpt-4o-mini,0.5857020014144068,2127.182201269774,0.76413375
b4284f7fb029,planner_rag,gpt-4o-mini,0.4492386619572344,4629.482134665484,4.0343268
b666a9d4f08f,self_rag,gpt-4o-mini,0.1634255252417189,6629.562865661384,0.97927935
b6cd2de95a51,self_rag,gpt-4o-mini,0.22264280147595958,977.147999503723,0.9540069
ba5b99b9515b,vanilla_rag,gpt-4o-mini,0.690100592390066,503.85643299436197,0.01023405
bfc8f29304c5,vanilla_rag,gpt-4o-mini,0.5950693159799755,1411.3363871824406,0.7913088
c4da1615351b,reap_rag,gpt-4o-mini,0.41737471289498695,4612.630351519225,6.493626
d9578a21a73b,ircot_rag,gpt-4o-mini,0.280781001778434,5824.455755689063,1.6765455
db4e27283f1c,vanilla_rag,gpt-4o-mini,0.2350494970444635,1484.1151592062276,0.2663697
dc3a1e2ecbfb,planner_rag,gpt-4o-mini,0.24256460398533977,12641.946458915047,2.02965195
dedaa9b2bfb5,planner_rag,gpt-4o-mini,0.44524025798920264,6857.372103065746,3.98231055
e1c01e603e1b,vanilla_rag,gpt-4o-mini,0.24292779019106964,1088.6685742646375,0.2712426
e8d5733032b2,self_rag,gpt-4o-mini,0.5042454070571818,9666.25410841332,2.1496416
eecfa8d0669c,vanilla_rag,gpt-4o-mini,0.16253658477555136,1251.3910436083881,0.2599884
f01337dd1fe8,recursive_lm,gpt-4o-mini,0.28893498322496336,8772.275652213544,2.0963571
f34150a94ab1,react_rag,gpt-4o-mini,0.28115906334310725,8875.623619238952,5.15471535
f667025aa8ab,reap_rag,gpt-4o-mini,0.41088579168606615,3777.2821169883687,6.537351
f6eca36f8389,vanilla_rag,gpt-4o-mini,0.5721190619150371,1035.9069750015624,0.0105009
f7260bac9e64,self_rag,gpt-4o-mini,0.5700000000000001,4651.595400000224,0.0016989
fb0e11a5f724,vanilla_rag,gpt-4o-mini,0.3092004814301487,2303.7820058682355,1.16352975
