dataset,architecture,retriever,em,f1,cost_usd,latency_ms,avg_llm_calls,run_id
hotpotqa,Vanilla RAG,Dense,0.44956110735989196,0.5950693159799755,0.7913088,1411.3363871824406,1.0,bfc8f29304c5
hotpotqa,Vanilla RAG,Hybrid,0.4414584740040513,0.5857020014144068,0.76413375,2127.182201269774,1.0,b054e24bdec5
hotpotqa,Vanilla RAG,BM25,0.3824442943956786,0.5151295350640763,0.7693863,2321.054692951532,1.0,74d7b162f218
hotpotqa,ReAct RAG,Dense,0.45685347738014853,0.5927521147557586,9.66301785,5949.688692113399,4.065766374071573,47103104139a
hotpotqa,ReAct RAG,Hybrid,0.4602295746117488,0.5993547866616007,9.18463995,7611.095462957333,4.048345712356516,25cc3f6b90df
hotpotqa,ReAct RAG,BM25,0.387846049966239,0.5081343788843742,11.160978,3922.975364172797,4.556110735989196,0e7932b02fd5
hotpotqa,Self-RAG,Dense,0.4063470627954085,0.5487858316395946,2.1303449999999997,4497.179197164055,10.77204591492235,72dc70f2c3e5
hotpotqa,Self-RAG,Hybrid,0.4064821066846725,0.5495139998458773,2.080683,1892.884684821088,10.746927751519245,7272b4eb8c81
hotpotqa,Self-RAG,BM25,0.36975016880486156,0.5042454070571818,2.1496416,9666.25410841332,11.024442943956785,e8d5733032b2
hotpotqa,Planner RAG,Dense,0.3367994598244429,0.4492386619572344,4.0343268,4629.482134665484,8.13031735313977,b4284f7fb029
hotpotqa,Planner RAG,Hybrid,0.3351789331532748,0.44524025798920264,3.98231055,6857.372103065746,8.138555030384875,dedaa9b2bfb5
hotpotqa,Planner RAG,BM25,0.27711006076975014,0.377001913850804,4.08989685,14617.773944362085,8.432545577312627,19114c8be979
hotpotqa,IRCoT,Dense,0.4199864956110736,0.591752391451101,3.77417145,3277.6270034975996,4.173261309925726,3e4b5fc82f99
hotpotqa,IRCoT,Hybrid,0.42930452397029034,0.5985972390306455,3.8084845499999997,9874.163042808812,4.164618501012829,4d923d09821d
hotpotqa,IRCoT,BM25,0.38541525995948683,0.5470780731431601,3.9672153,6462.724768304927,4.203916272788656,1c4afb9455fd
hotpotqa,REAP,Dense,0.2812964213369345,0.41737471289498695,6.493626,4612.630351519225,6.24375422012154,c4da1615351b
hotpotqa,REAP,Hybrid,0.2734638757596219,0.41088579168606615,6.537351,3777.2821169883687,6.400270087778528,f667025aa8ab
hotpotqa,REAP,BM25,0.24577987846049967,0.3659342451617467,7.4081217,14713.28367035799,7.93166779203241,0eb193182083
hotpotqa,Recursive LM,Dense,0.4611748818365969,0.6011485241526446,3.33745815,4950.707387103533,3.6101282916948008,a381842dbea6
hotpotqa,Recursive LM,Hybrid,0.46320054017555706,0.6024782455430625,3.18819855,7078.275681943944,3.6049966239027684,09581743885c
hotpotqa,Recursive LM,BM25,0.40081026333558406,0.5264841955864725,5.0052807,9576.490735030817,5.983119513841999,9b4f758783b7
